                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 3.1521,                 2.2669,                 2.4477,                0.12881,                0.22953,                0.07531,                0.01964,                 3.0415,                 2.5737,                 2.3234,              0.0010496,              0.0010496,              0.0010496
                     50,                 3.0474,                 2.3518,                 2.5342,                0.13672,                0.20992,                0.08342,                0.02315,                 3.0751,                 2.3456,                 2.3378,              0.0010298,              0.0010298,              0.0010298
                     51,                 3.0173,                 2.4571,                 2.6617,                0.13037,                0.12111,                0.06711,                0.02092,                 3.2543,                 2.3265,                   2.45,                0.00101,                0.00101,                0.00101
                     52,                 3.0991,                 2.2508,                 2.4739,                0.13278,                0.16609,                0.07682,                0.02312,                 3.1447,                  2.344,                 2.3638,              0.0009902,              0.0009902,              0.0009902
                     53,                 2.9848,                 2.4139,                 2.6019,                0.14462,                0.18454,                0.08491,                0.02627,                 3.0912,                 2.3137,                 2.3259,              0.0009704,              0.0009704,              0.0009704
                     54,                  3.065,                 2.3544,                 2.4818,                0.14742,                0.22636,                0.09932,                0.03051,                 2.9759,                 2.2499,                 2.2654,              0.0009506,              0.0009506,              0.0009506
                     55,                 3.0208,                 2.3495,                 2.5026,                0.12582,                0.19608,                0.08463,                0.02306,                 3.0048,                  2.294,                 2.2576,              0.0009308,              0.0009308,              0.0009308
                     56,                 3.1115,                 2.3165,                 2.4367,                0.12852,                0.18339,                0.07023,                0.01736,                 3.0239,                 2.3117,                 2.2581,               0.000911,               0.000911,               0.000911
                     57,                 2.9898,                 2.3138,                 2.4673,                0.11926,                0.23299,                0.06631,                0.01537,                 3.0203,                 2.3081,                 2.2557,              0.0008912,              0.0008912,              0.0008912
                     58,                 3.1292,                 2.2067,                 2.3871,                0.12654,                0.22722,                0.06918,                0.01735,                 3.0244,                 2.3195,                 2.2617,              0.0008714,              0.0008714,              0.0008714
                     59,                 3.1374,                 2.3088,                  2.511,                 0.1762,                0.25375,                0.11099,                0.02933,                 2.9018,                  2.504,                 2.2126,              0.0008516,              0.0008516,              0.0008516
                     60,                 3.0906,                  2.318,                 2.5624,                0.17042,                0.26182,                 0.1154,                0.03151,                 2.8788,                 2.4651,                 2.2082,              0.0008318,              0.0008318,              0.0008318
                     61,                 3.2011,                 2.1913,                  2.344,                 0.1742,                0.26759,                0.11657,                0.03119,                  2.893,                  2.404,                 2.2111,               0.000812,               0.000812,               0.000812
                     62,                 2.9414,                 2.2536,                 2.4413,                0.18307,                0.21799,                0.11329,                0.02937,                 2.9488,                 2.3243,                 2.2378,              0.0007922,              0.0007922,              0.0007922
                     63,                  2.935,                 2.2116,                 2.5151,                0.20741,                 0.1511,                0.09135,                0.02425,                 3.0587,                 2.3465,                    2.3,              0.0007724,              0.0007724,              0.0007724
                     64,                 2.9881,                 2.3083,                  2.511,                0.19644,                0.17762,                0.09365,                0.02478,                 3.0501,                 2.4149,                 2.2951,              0.0007526,              0.0007526,              0.0007526
                     65,                 2.9432,                 2.1907,                 2.3327,                0.20486,                0.16724,                0.09234,                0.02401,                 3.0743,                 2.4836,                  2.302,              0.0007328,              0.0007328,              0.0007328
                     66,                 3.1858,                 2.1257,                 2.2643,                0.21906,                0.15983,                0.10611,                0.02802,                  3.034,                 2.2996,                  2.276,               0.000713,               0.000713,               0.000713
                     67,                 2.7323,                 2.3162,                 2.4908,                0.20584,                0.28551,                0.14676,                0.04036,                 2.8805,                 2.1091,                 2.1877,              0.0006932,              0.0006932,              0.0006932
                     68,                 2.7813,                 2.1076,                  2.397,                0.21247,                0.32872,                0.14909,                0.04203,                 2.8418,                 2.0032,                 2.1619,              0.0006734,              0.0006734,              0.0006734
                     69,                 2.9013,                 2.2257,                 2.4448,                0.19021,                0.30911,                  0.142,                0.04024,                  2.859,                 1.9837,                 2.1603,              0.0006536,              0.0006536,              0.0006536
                     70,                 3.0528,                 2.1526,                 2.2492,                0.17731,                0.23645,                0.12459,                0.03668,                  2.944,                 2.0604,                   2.19,              0.0006338,              0.0006338,              0.0006338
                     71,                 3.0975,                 2.0185,                  2.171,                0.12636,                0.21107,                0.07202,                0.01988,                 3.1283,                 2.2468,                 2.2662,               0.000614,               0.000614,               0.000614
                     72,                 2.9342,                 2.4066,                 2.5914,                0.13376,                0.26067,                0.07828,                0.01983,                 3.1005,                 2.2527,                 2.2601,              0.0005942,              0.0005942,              0.0005942
                     73,                 2.8912,                 2.0789,                 2.2805,                0.16351,                0.25721,                0.10171,                0.02694,                  3.005,                 2.1458,                  2.225,              0.0005744,              0.0005744,              0.0005744
                     74,                 3.0262,                 2.1648,                 2.3234,                0.20902,                0.27682,                0.14197,                0.04165,                 2.8808,                 2.0294,                 2.1751,              0.0005546,              0.0005546,              0.0005546
                     75,                 2.8816,                 2.0885,                 2.3973,                0.28026,                0.31373,                0.20986,                0.06392,                  2.724,                 1.9139,                 2.1107,              0.0005348,              0.0005348,              0.0005348
                     76,                 2.8885,                 2.0867,                 2.2871,                0.28286,                0.30565,                 0.2055,                 0.0637,                 2.7186,                 1.8996,                 2.1083,               0.000515,               0.000515,               0.000515
                     77,                 2.8448,                 2.2688,                 2.3874,                0.26447,                0.30334,                0.19258,                0.06035,                 2.7492,                 1.9065,                 2.1181,              0.0004952,              0.0004952,              0.0004952
                     78,                 2.8358,                 1.9759,                 2.2506,                0.26334,                0.28374,                0.18078,                0.05591,                 2.7754,                 1.9459,                 2.1267,              0.0004754,              0.0004754,              0.0004754
                     79,                  2.891,                 2.0124,                 2.2502,                0.23999,                0.30565,                 0.1659,                 0.0514,                 2.7616,                  1.934,                 2.1006,              0.0004556,              0.0004556,              0.0004556
                     80,                 2.9378,                  2.073,                 2.3675,                0.23311,                0.29527,                0.15534,                0.04782,                 2.7737,                 1.9576,                 2.1057,              0.0004358,              0.0004358,              0.0004358
                     81,                 2.7306,                 2.0147,                 2.1654,                0.22237,                0.32065,                0.15768,                0.04631,                 2.7612,                 1.9711,                 2.1027,               0.000416,               0.000416,               0.000416
                     82,                 2.8442,                 2.0069,                 2.2567,                0.23048,                0.31603,                0.16632,                0.04794,                 2.7348,                   1.98,                 2.0953,              0.0003962,              0.0003962,              0.0003962
                     83,                 2.8083,                 2.0826,                 2.3445,                0.26413,                0.32295,                0.18879,                0.05314,                  2.687,                 1.9812,                 2.0776,              0.0003764,              0.0003764,              0.0003764
                     84,                 2.8763,                 2.0424,                 2.3784,                0.27162,                0.34833,                0.20667,                0.05962,                 2.6461,                 1.9195,                 2.0636,              0.0003566,              0.0003566,              0.0003566
                     85,                 3.0884,                 2.1362,                 2.3586,                0.28994,                0.38148,                0.23278,                0.06767,                 2.6199,                 1.8817,                 2.0559,              0.0003368,              0.0003368,              0.0003368
                     86,                 2.8304,                  1.891,                 2.2244,                0.29362,                0.38062,                 0.2359,                0.06829,                 2.6155,                 1.8923,                 2.0546,               0.000317,               0.000317,               0.000317
                     87,                 2.8428,                 2.0221,                 2.2381,                0.29244,                0.32295,                0.21756,                0.06534,                 2.6434,                 1.9354,                 2.0588,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.7771,                 2.2144,                 2.4333,                0.30573,                0.34256,                0.22829,                0.06921,                   2.64,                 1.9141,                 2.0509,              0.0002774,              0.0002774,              0.0002774
