                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                 3.0288,                 2.4757,                 2.6604,                 0.0909,                 0.1114,                 0.0246,                0.00573,                  3.673,                 2.4795,                 2.7357,              0.0017525,              0.0017525,              0.0017525
                     52,                 3.1224,                 2.2538,                 2.4775,                0.15319,                0.17276,                0.06669,                0.01592,                 3.2171,                 2.5133,                 2.4053,              0.0017476,              0.0017476,              0.0017476
                     53,                 2.9479,                 2.4534,                 2.5399,                0.17972,                0.21506,                 0.1007,                 0.0272,                 3.0469,                  2.436,                 2.2965,              0.0017426,              0.0017426,              0.0017426
                     54,                 3.0515,                 2.3901,                 2.4338,                0.22022,                0.25144,                0.12546,                 0.0342,                 2.9708,                 2.1516,                 2.2308,              0.0017376,              0.0017376,              0.0017376
                     55,                 2.9455,                  2.307,                 2.4476,                0.14435,                0.27682,                0.08101,                0.02105,                 2.9596,                 2.2046,                 2.2389,              0.0017327,              0.0017327,              0.0017327
                     56,                  3.039,                 2.2509,                 2.4095,                0.15031,                0.23183,                0.07992,                0.02203,                 2.9592,                 2.3099,                 2.2577,              0.0017278,              0.0017278,              0.0017278
                     57,                  2.938,                 2.3117,                 2.4187,                0.18333,                0.25452,                0.10632,                0.02964,                 2.9325,                 2.3446,                  2.238,              0.0017228,              0.0017228,              0.0017228
                     58,                 3.0769,                 2.1945,                 2.3421,                0.21827,                0.28374,                0.15245,                 0.0409,                 2.8806,                 2.3909,                  2.205,              0.0017179,              0.0017179,              0.0017179
                     59,                 3.0961,                  2.241,                 2.4733,                0.16395,                0.14648,                0.08933,                0.02337,                 3.4062,                 2.8106,                 2.4474,              0.0017129,              0.0017129,              0.0017129
                     60,                 3.0544,                  2.415,                 2.5888,                0.17366,                0.11188,                0.08298,                0.02357,                 3.7924,                 2.6077,                 2.7165,               0.001708,               0.001708,               0.001708
                     61,                  3.274,                 2.1968,                 2.4181,                  0.238,                0.10611,                0.08734,                0.02577,                 3.7088,                 2.5044,                 2.6543,               0.001703,               0.001703,               0.001703
                     62,                 2.9039,                 2.2099,                  2.438,                0.14125,                 0.1511,                0.09716,                0.02815,                 3.3559,                 2.4689,                 2.4529,               0.001698,               0.001698,               0.001698
                     63,                  2.957,                 2.2389,                 2.4976,                0.10685,                0.18242,                0.08485,                0.02203,                 3.1752,                 2.5024,                 2.3846,              0.0016931,              0.0016931,              0.0016931
                     64,                 2.9925,                 2.2515,                 2.4788,                0.12708,                0.20415,                0.07431,                0.01791,                 3.1067,                  2.459,                 2.3296,              0.0016882,              0.0016882,              0.0016882
                     65,                 2.9169,                 2.2012,                 2.3243,                0.15936,                0.21799,                0.07171,                0.01731,                 3.0196,                 2.6283,                 2.2542,              0.0016832,              0.0016832,              0.0016832
                     66,                 3.0994,                 2.1258,                 2.2031,                0.17943,                0.26759,                0.08374,                 0.0226,                 2.8364,                 3.0581,                 2.1458,              0.0016783,              0.0016783,              0.0016783
                     67,                 2.7338,                 2.4352,                 2.4608,                0.13689,                0.30334,                 0.0843,                0.02363,                  2.805,                 2.5649,                 2.1109,              0.0016733,              0.0016733,              0.0016733
                     68,                 2.8306,                 2.1764,                 2.3943,                0.16402,                0.32987,                0.10716,                0.03044,                 2.7728,                 2.0728,                 2.0985,              0.0016684,              0.0016684,              0.0016684
                     69,                 2.8655,                 2.2196,                  2.405,                0.21122,                0.32065,                0.15172,                0.04495,                 2.7177,                 1.9631,                 2.0875,              0.0016634,              0.0016634,              0.0016634
                     70,                 3.0058,                 2.1892,                 2.1954,                0.24199,                0.31719,                0.18418,                0.05351,                 2.6979,                 1.9321,                 2.1022,              0.0016585,              0.0016585,              0.0016585
                     71,                 3.0057,                 2.0229,                 2.1425,                0.19879,                 0.2872,                0.14898,                0.04158,                 2.7647,                 1.9884,                 2.1503,              0.0016535,              0.0016535,              0.0016535
                     72,                 2.7515,                 2.3977,                  2.515,                  0.218,                0.29296,                0.15381,                0.04412,                 2.7511,                 1.9859,                 2.1476,              0.0016485,              0.0016485,              0.0016485
                     73,                 2.8176,                  2.061,                 2.2126,                0.24132,                0.29873,                0.16766,                 0.0485,                 2.7224,                 2.0146,                 2.1446,              0.0016436,              0.0016436,              0.0016436
                     74,                 2.9419,                 2.1681,                 2.2593,                0.23568,                0.27451,                0.15765,                0.04508,                 2.7533,                 2.1765,                 2.1504,              0.0016386,              0.0016386,              0.0016386
                     75,                  2.838,                 2.1243,                 2.3625,                0.20006,                0.16148,                0.10849,                 0.0339,                 2.8085,                 3.3061,                  2.141,              0.0016337,              0.0016337,              0.0016337
                     76,                 2.7431,                 2.1138,                 2.1615,                0.23811,                0.21107,                0.14047,                0.04435,                 2.7744,                 2.6729,                 2.1092,              0.0016287,              0.0016287,              0.0016287
                     77,                 2.7006,                   2.28,                 2.2836,                0.25312,                0.25144,                0.17886,                0.05837,                 2.7206,                  2.106,                 2.0894,              0.0016238,              0.0016238,              0.0016238
                     78,                  2.661,                 1.9703,                 2.1468,                0.28302,                0.31834,                0.21864,                0.06689,                 2.6678,                 1.9634,                 2.0805,              0.0016189,              0.0016189,              0.0016189
                     79,                 2.6943,                 1.9936,                 2.1403,                0.25916,                0.34578,                0.18366,                0.05483,                  2.689,                 1.9544,                 2.1007,              0.0016139,              0.0016139,              0.0016139
                     80,                 2.8091,                 2.1437,                  2.302,                0.26403,                0.34833,                0.18846,                0.05141,                 2.7217,                 2.0395,                 2.1204,              0.0016089,              0.0016089,              0.0016089
                     81,                 2.6002,                 2.0179,                 2.0812,                0.28792,                 0.3737,                0.20473,                0.05602,                 2.7308,                 2.0847,                 2.1344,               0.001604,               0.001604,               0.001604
                     82,                 2.6827,                 1.9096,                 2.1096,                0.32064,                0.38062,                0.24343,                0.07019,                 2.6784,                 2.1828,                  2.124,              0.0015991,              0.0015991,              0.0015991
                     83,                  2.671,                 2.0168,                 2.2331,                0.33739,                0.40484,                0.26734,                0.09402,                 2.4992,                 2.3527,                 1.9994,              0.0015941,              0.0015941,              0.0015941
                     84,                 2.7094,                 2.0033,                 2.2628,                0.31341,                0.39331,                0.24693,                0.08858,                  2.481,                 2.4171,                 1.9786,              0.0015892,              0.0015892,              0.0015892
                     85,                 2.8921,                 2.1151,                 2.2306,                0.31523,                0.42215,                0.26756,                0.08697,                 2.5046,                  2.437,                 1.9717,              0.0015842,              0.0015842,              0.0015842
