                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                 3.1216,                 2.3173,                 2.4299,                0.15034,                0.23068,                0.08122,                0.01865,                 3.0731,                 2.2701,                 2.2889,              0.0019069,              0.0019069,              0.0019069
                     49,                 3.2348,                 2.2943,                 2.4494,                 0.1203,                0.22837,                0.06181,                0.01516,                 3.0865,                 2.3386,                 2.2847,               0.001905,               0.001905,               0.001905
                     50,                 3.1661,                  2.384,                 2.5452,                 0.1196,                0.24683,                0.06268,                0.01588,                 3.0532,                 2.3376,                 2.2766,               0.001903,               0.001903,               0.001903
                     51,                 3.1603,                 2.5738,                 2.6874,                0.10174,                 0.1134,                0.03763,                0.00868,                  3.477,                 2.7397,                 2.5418,               0.001901,               0.001901,               0.001901
                     52,                 3.1722,                 2.3319,                 2.4996,                0.07606,                0.11995,                0.03321,                0.00798,                  3.158,                 3.3078,                  2.335,               0.001899,               0.001899,               0.001899
                     53,                 3.0307,                 2.5368,                 2.5676,                0.09283,                0.12341,                 0.0311,                0.00719,                  3.199,                 3.2972,                  2.343,               0.001897,               0.001897,               0.001897
                     54,                  3.173,                 2.4239,                 2.4664,                 0.1038,                0.21684,                0.04705,                0.01043,                 3.1179,                 2.6053,                  2.297,              0.0018951,              0.0018951,              0.0018951
                     55,                 3.0296,                 2.3914,                 2.4546,                 0.1672,                0.23068,                0.08727,                0.02219,                 3.0058,                 2.5137,                 2.2828,              0.0018931,              0.0018931,              0.0018931
                     56,                 3.1804,                 2.4321,                 2.4643,                0.17282,                0.23991,                0.09353,                0.02614,                 3.0499,                 2.5201,                 2.2975,              0.0018911,              0.0018911,              0.0018911
                     57,                 3.1064,                 2.4553,                 2.5276,                0.18098,                0.24544,                0.09748,                0.02725,                 3.0491,                  2.448,                 2.2967,              0.0018891,              0.0018891,              0.0018891
                     58,                 3.1587,                 2.2662,                  2.384,                0.17171,                0.27336,                0.09651,                0.02525,                 2.9962,                 2.5719,                 2.2785,              0.0018871,              0.0018871,              0.0018871
                     59,                 3.1998,                 2.3622,                  2.516,                0.11506,                0.19608,                0.05659,                 0.0156,                 3.1214,                 3.2866,                 2.3335,              0.0018852,              0.0018852,              0.0018852
                     60,                 3.2177,                 2.5026,                 2.5998,                0.09938,                0.18532,                0.05445,                 0.0139,                 3.2213,                 3.2828,                 2.3683,              0.0018832,              0.0018832,              0.0018832
                     61,                 3.2447,                 2.2588,                 2.3273,                0.14948,                0.19608,                0.08601,                0.02254,                 3.1075,                 3.0116,                 2.2833,              0.0018812,              0.0018812,              0.0018812
                     62,                 3.0133,                 2.2995,                 2.4469,                0.15575,                0.28028,                0.10258,                0.02795,                 3.0245,                 2.6055,                 2.2043,              0.0018792,              0.0018792,              0.0018792
                     63,                 3.0826,                 2.3299,                 2.5392,                0.13519,                 0.2315,                0.08508,                0.02386,                 3.0536,                  2.607,                 2.2132,              0.0018772,              0.0018772,              0.0018772
                     64,                 3.0676,                 2.3309,                 2.4969,                0.11848,                0.18726,                0.06764,                0.01894,                 3.1467,                 2.9453,                 2.2449,              0.0018753,              0.0018753,              0.0018753
                     65,                 3.1086,                 2.2714,                 2.3842,                0.13457,                 0.2376,                 0.0827,                0.02259,                 3.0714,                  2.914,                 2.2424,              0.0018733,              0.0018733,              0.0018733
                     66,                 3.2231,                 2.1965,                 2.2621,                0.15552,                0.21569,                0.08477,                0.02386,                 3.0595,                 2.9204,                 2.2497,              0.0018713,              0.0018713,              0.0018713
                     67,                 2.8544,                  2.537,                 2.5309,                0.08486,                0.19839,                0.04047,                 0.0088,                 3.1897,                  4.143,                 2.3085,              0.0018693,              0.0018693,              0.0018693
                     68,                 2.9314,                 2.2738,                 2.4412,                 0.1403,                0.28489,                0.07514,                0.01777,                 2.9981,                 3.8844,                  2.226,              0.0018673,              0.0018673,              0.0018673
                     69,                 2.9755,                 2.2899,                 2.4343,                0.15898,                0.30334,                0.08776,                 0.0217,                 2.9077,                 4.2203,                 2.1932,              0.0018654,              0.0018654,              0.0018654
                     70,                 3.0581,                 2.2175,                 2.2393,                0.08029,                0.12597,                0.02884,                 0.0068,                 3.1855,                  7.336,                 2.2769,              0.0018634,              0.0018634,              0.0018634
                     71,                 3.0993,                 2.0916,                 2.1626,                0.00653,                0.02884,                0.00182,                0.00042,                 3.9858,                  5.872,                 2.6965,              0.0018614,              0.0018614,              0.0018614
                     72,                 3.0087,                 2.4781,                 2.5797,                0.06353,                 0.0692,                0.01607,                0.00438,                 3.5873,                 3.0449,                 2.5004,              0.0018594,              0.0018594,              0.0018594
                     73,                 2.9389,                 2.1267,                 2.2582,                0.14983,                 0.1866,                0.08563,                 0.0226,                 3.2366,                 2.1526,                 2.3507,              0.0018574,              0.0018574,              0.0018574
                     74,                 3.1129,                 2.2265,                 2.3286,                0.21749,                0.23645,                0.13752,                0.03791,                 2.9635,                 2.2312,                 2.2052,              0.0018555,              0.0018555,              0.0018555
                     75,                 2.9759,                 2.2545,                 2.3948,                0.09502,                0.19839,                  0.072,                 0.0197,                 3.0054,                  2.687,                 2.2295,              0.0018535,              0.0018535,              0.0018535
                     76,                 2.9466,                 2.2528,                 2.2888,                0.15222,                0.22376,                0.09593,                0.02847,                 2.8989,                 2.3948,                 2.1697,              0.0018515,              0.0018515,              0.0018515
                     77,                 2.8254,                 2.3459,                 2.3305,                0.14581,                0.25144,                 0.0898,                0.02537,                 2.9494,                 2.4278,                  2.184,              0.0018495,              0.0018495,              0.0018495
                     78,                 2.8772,                 2.1543,                 2.2172,                0.10635,                0.24798,                0.06246,                0.01515,                 3.0633,                 3.0984,                  2.237,              0.0018475,              0.0018475,              0.0018475
                     79,                 2.9401,                 2.1711,                 2.2243,                 0.1248,                0.22953,                0.06777,                0.01554,                 2.9501,                 4.0386,                 2.1947,              0.0018456,              0.0018456,              0.0018456
                     80,                 2.9696,                 2.2248,                  2.322,                0.14538,                 0.2549,                0.07746,                0.01908,                 2.8722,                 3.7758,                 2.1738,              0.0018436,              0.0018436,              0.0018436
                     81,                 2.7463,                 2.1869,                  2.146,                0.15955,                0.29758,                0.09388,                0.02415,                 2.8345,                 3.3804,                 2.1623,              0.0018416,              0.0018416,              0.0018416
                     82,                 2.8735,                 2.1292,                 2.2149,                0.18517,                0.35525,                0.11961,                0.03138,                   2.78,                 2.9772,                 2.1271,              0.0018396,              0.0018396,              0.0018396
                     83,                 2.8468,                 2.2403,                 2.3273,                0.21759,                0.35986,                0.15436,                0.03979,                 2.7002,                 2.3542,                  2.074,              0.0018376,              0.0018376,              0.0018376
                     84,                 2.8035,                 2.1365,                 2.2894,                0.26339,                0.38178,                0.20307,                0.05697,                 2.6127,                 2.0425,                   2.06,              0.0018357,              0.0018357,              0.0018357
                     85,                 2.9435,                 2.1654,                  2.244,                0.30552,                0.39216,                0.25174,                 0.0702,                 2.6293,                 1.9035,                 2.0723,              0.0018337,              0.0018337,              0.0018337
                     86,                  2.807,                 1.9697,                 2.1887,                0.31907,                0.40369,                0.25786,                 0.0768,                 2.6095,                 1.8461,                 2.0589,              0.0018317,              0.0018317,              0.0018317
                     87,                 2.7946,                  2.109,                 2.1867,                0.27153,                0.35769,                0.19585,                0.05414,                 2.6613,                  2.032,                 2.0476,              0.0018297,              0.0018297,              0.0018297
                     88,                  2.713,                 2.4334,                  2.401,                0.22628,                0.32641,                  0.156,                0.04316,                 2.7693,                 2.2244,                 2.0924,              0.0018277,              0.0018277,              0.0018277
                     89,                 2.6688,                 2.3376,                 2.4008,                0.26625,                0.35294,                0.21513,                0.06022,                 2.6625,                 1.9936,                 2.0505,              0.0018258,              0.0018258,              0.0018258
                     90,                 2.6398,                  2.049,                 2.2033,                0.30004,                0.36794,                0.24805,                0.07353,                 2.5897,                 1.8611,                 2.0071,              0.0018238,              0.0018238,              0.0018238
                     91,                 2.7957,                 2.0243,                 2.1701,                0.29244,                0.39562,                0.22532,                0.06245,                 2.6522,                  1.904,                 2.0337,              0.0018218,              0.0018218,              0.0018218
                     92,                 2.6963,                 1.9529,                  2.057,                0.29994,                 0.4083,                0.23283,                0.06902,                 2.6003,                  1.891,                 2.0086,              0.0018198,              0.0018198,              0.0018198
                     93,                 2.6402,                 1.9395,                 2.1351,                0.23955,                0.41753,                0.17062,                0.04341,                 2.7192,                 1.9101,                 2.0336,              0.0018178,              0.0018178,              0.0018178
                     94,                 2.5772,                 1.9786,                 2.1216,                0.32052,                0.48443,                0.25745,                0.08002,                 2.4792,                 1.8213,                 1.9596,              0.0018159,              0.0018159,              0.0018159
                     95,                 2.6336,                 2.0053,                 2.0924,                 0.3588,                0.42907,                0.28395,                0.08588,                 2.5025,                 1.8123,                 1.9559,              0.0018139,              0.0018139,              0.0018139
